iter,d1,d2,ldr,dr
1,1.1342476181742063,-1.3276824223726158,0.879581118583916,1.4098900368148288
2,3.2514051263710813,1.6449663281922358,-1.6586506013776754,-0.8096042734329755
3,5.7582021816791675,-3.0913135061467236,-13.552342137326757,-0.9999986989541765
4,5.7582021816791675,-3.0913135061467236,-13.552342137326757,-0.9999986989541765
5,0.45636913024859993,-1.123796408376629,1.454688108655299,3.283147380660176
6,6.188155626361859,-16.550994080761264,-318.80740968104686,-1.0
7,5.664904341662654,-23.491883977896702,-637.3014526394558,-1.0
8,5.937523607461628,-40.95398035521579,-1934.3800891073306,-1.0
9,7.004267808165707,-43.78348716135485,-2215.0298286981015,-1.0
10,6.359865269879415,-26.903770192711495,-837.5400978047022,-1.0
11,5.748451656868554,-18.303683581779303,-387.9281364072142,-1.0
12,5.786158838932671,-10.578379507562001,-131.24835994990477,-1.0
13,6.79876760169375,-25.94033010381756,-780.2578666794101,-1.0
14,2.983648762951618,-3.4009306456575863,-11.182889078346262,-0.9999860898125799
15,4.959016425346529,0.41299956069928956,-1.2224746596906302,-0.7054995240287549
16,5.158144379522796,-5.631470506616948,-37.6705026363959,-1.0
17,9.211506462157507,3.212221842443848,-25.425192170173585,-0.9999999999909223
18,8.071128834434981,-6.578705666567704,-58.87557846538437,-1.0
19,8.519370898989104,-6.191659739205982,-54.76154602274552,-1.0
20,8.447461135964705,-6.261708866753515,-55.50632602587811,-1.0
21,7.664781271621747,6.73610218756797,-60.472749542891975,-1.0
22,5.746458469237157,-2.6019927084067964,-10.335037486703293,-0.9999675249185297
23,5.813646994752102,3.7482599326900337,-19.124971366882846,-0.9999999950554079
24,1.9050127971912978,-4.204265163341841,-16.483480559731515,-0.9999999306070501
25,-2.507249162518203,0.3552959370691611,-0.03679633334690635,-0.03612757596974292
26,-2.507249162518203,0.3552959370691611,-0.03679633334690635,-0.03612757596974292
27,-3.151553836131651,0.006808498140757624,-1.8978878964303845,-0.8501151425163835
28,-3.151553836131651,0.006808498140757624,-1.8978878964303845,-0.8501151425163835
29,-3.151553836131651,0.006808498140757624,-1.8978878964303845,-0.8501151425163835
30,-3.151553836131651,0.006808498140757624,-1.8978878964303845,-0.8501151425163835
31,-3.151553836131651,0.006808498140757624,-1.8978878964303845,-0.8501151425163835
32,-3.7377188756873387,-0.2710253119535393,-1.7397976709052259,-0.8244440829063447
33,-2.06291295001649,0.20213405825528022,0.19524688245273447,0.21561106248713546
34,-2.06291295001649,0.20213405825528022,0.19524688245273447,0.21561106248713546
35,-2.06291295001649,0.20213405825528022,0.19524688245273447,0.21561106248713546
36,-2.06291295001649,0.20213405825528022,0.19524688245273447,0.21561106248713546
37,-1.5910956241097132,0.43354407215570867,0.9985581255220546,1.7143652315658287
38,-1.7389059770041717,0.0683489313950908,0.5744871426428309,0.776219346121519
39,-1.7389059770041717,0.0683489313950908,0.5744871426428309,0.776219346121519
40,-1.7389059770041717,0.0683489313950908,0.5744871426428309,0.776219346121519
41,NaN,NaN,0.0,0.0
42,NaN,NaN,0.0,0.0
43,NaN,NaN,0.0,0.0
44,NaN,NaN,0.0,0.0
45,NaN,NaN,0.0,0.0
46,NaN,NaN,0.0,0.0
47,NaN,NaN,0.0,0.0
48,NaN,NaN,0.0,0.0
49,NaN,NaN,0.0,0.0
50,NaN,NaN,0.0,0.0
51,NaN,NaN,0.0,0.0
52,NaN,NaN,0.0,0.0
53,NaN,NaN,0.0,0.0
54,NaN,NaN,0.0,0.0
55,NaN,NaN,0.0,0.0
56,NaN,NaN,0.0,0.0
57,NaN,NaN,0.0,0.0
58,NaN,NaN,0.0,0.0
59,NaN,NaN,0.0,0.0
60,NaN,NaN,0.0,0.0
61,NaN,NaN,0.0,0.0
62,NaN,NaN,0.0,0.0
63,NaN,NaN,0.0,0.0
64,NaN,NaN,0.0,0.0
65,NaN,NaN,0.0,0.0
66,NaN,NaN,0.0,0.0
67,NaN,NaN,0.0,0.0
68,NaN,NaN,0.0,0.0
69,NaN,NaN,0.0,0.0
70,NaN,NaN,0.0,0.0
71,NaN,NaN,0.0,0.0
72,NaN,NaN,0.0,0.0
73,NaN,NaN,0.0,0.0
74,NaN,NaN,0.0,0.0
75,NaN,NaN,0.0,0.0
76,NaN,NaN,0.0,0.0
77,NaN,NaN,0.0,0.0
78,NaN,NaN,0.0,0.0
79,NaN,NaN,0.0,0.0
80,NaN,NaN,0.0,0.0
81,NaN,NaN,0.0,0.0
82,NaN,NaN,0.0,0.0
83,NaN,NaN,0.0,0.0
84,NaN,NaN,0.0,0.0
85,NaN,NaN,0.0,0.0
86,NaN,NaN,0.0,0.0
87,NaN,NaN,0.0,0.0
88,NaN,NaN,0.0,0.0
89,NaN,NaN,0.0,0.0
90,NaN,NaN,0.0,0.0
91,NaN,NaN,0.0,0.0
92,NaN,NaN,0.0,0.0
93,NaN,NaN,0.0,0.0
94,NaN,NaN,0.0,0.0
95,NaN,NaN,0.0,0.0
96,NaN,NaN,0.0,0.0
97,NaN,NaN,0.0,0.0
98,NaN,NaN,0.0,0.0
99,NaN,NaN,0.0,0.0
100,NaN,NaN,0.0,0.0
101,NaN,NaN,0.0,0.0
102,NaN,NaN,0.0,0.0
103,NaN,NaN,0.0,0.0
104,NaN,NaN,0.0,0.0
105,NaN,NaN,0.0,0.0
106,NaN,NaN,0.0,0.0
107,NaN,NaN,0.0,0.0
108,NaN,NaN,0.0,0.0
109,NaN,NaN,0.0,0.0
110,NaN,NaN,0.0,0.0
111,NaN,NaN,0.0,0.0
112,NaN,NaN,0.0,0.0
113,NaN,NaN,0.0,0.0
114,NaN,NaN,0.0,0.0
